classification,accuracy,bal_accuracy,precision,recall,f1,count
Small,0.8844283148757857,0.6949349373591671,0.8842685837511892,0.8844283148757857,0.881225945194364,332611
Feeder,0.8746902746231675,0.747221512534147,0.8757645889973755,0.8746902746231675,0.8723684591026534,497743
Feedermax,0.8829586303539877,0.7390225022983498,0.8864125191490569,0.8829586303539877,0.8809512468755669,228859
Panamax,0.8780521356351881,0.7295488867927489,0.8775322357246099,0.8780521356351881,0.8748342346646371,216100
New-Panamax,0.808937109231335,0.6835266313391601,0.8222323544616782,0.808937109231335,0.8105895243057322,98257
Post-Panamax,0.8642960812772134,0.7006144433002545,0.8746688397431216,0.8642960812772134,0.8629151831042152,214488
ULCV,0.7540469973890339,0.53202536044044,0.7933430323955,0.7540469973890339,0.7593445527578971,33838
