Model,Accuracy,Precision,Recall,F1-Score,Balanced Accuracy
Trained_model,0.8722492067677807,0.873114125576244,0.8722492067677807,0.8703598029772638,0.7525057730626682
Most_frequent_class_model,0.1351429519297022,0.0182636174562738,0.1351429519297022,0.03217853297723657,0.005917159763313609
Most_frequent_class_by_imo_model,0.3214015328734146,0.2990341008808886,0.3214015328734146,0.2883335184769774,0.11760044252800018
Locf_model,0.372925474450692,0.37220985151548597,0.372925474450692,0.37255706090771756,0.16041992843243655
Uniform_random_model,0.04195411587570285,0.040186940331375993,0.04195411587570285,0.04095203908387149,0.0062884618447019746
Weighted_random_model,0.0055802716979848075,0.041687757996533445,0.0055802716979848075,0.00825286185641388,0.005304658230185698
